&b / R_0 / 1/s
2,22
2.1,21
2.2,25
2.3,21
2.4,21
2.5,24
2.6,29
2.7,28
2.8,22
2.9,32
3,27
3.1,21
3.2,22
3.3,33
3.4,21
3.5,37
3.6,25
3.7,23
3.8,25
3.9,23
4,32
4.1,27
4.2,34
4.3,23
4.4,29
4.5,29
4.6,34
4.7,29
4.8,40
4.9,39
5,43
5.1,36
5.2,41
5.3,64
5.4,54
5.5,43
5.6,46
5.7,56
5.8,54
5.9,53
6,54
6.1,61
6.2,55
6.3,55
6.4,70
6.5,67
6.6,55
6.7,62
6.8,57
6.9,59
7,46
7.1,58
7.2,66
7.3,54
7.4,66
7.5,57
7.6,69
7.7,59
7.8,54
7.9,57
8,69
8.1,59
8.2,75
8.3,67
8.4,60
8.5,65
8.6,53
8.7,59
8.8,44
8.9,42
9,43
9.1,33
9.2,42
9.3,47
9.4,38
9.5,40
9.6,43
9.7,66
9.8,45
9.9,48
10,43
10.1,38
10.2,29
10.3,21
10.4,27
10.5,34
10.6,23
10.7,25
10.8,19
10.9,19
11,25
11.1,23
11.2,24
11.3,14
11.4,16
11.5,26
11.6,13
11.7,19
11.8,16
11.9,19
12,13
12.1,13
12.2,18
12.3,19
12.4,32
12.5,17
12.6,23
12.7,18
12.8,15
12.9,21
13,21
13.1,21
13.2,15
13.3,17
13.4,20
13.5,14
13.6,19
13.7,16
13.8,18
13.9,24
14,16
14.1,19
14.2,26
14.3,21
14.4,15
14.5,16
14.6,16
14.7,19
14.8,28
14.9,23
15,16
