Voltage, ChB vs Voltage, ChA, Run #5
Voltage, ChA ( V )	Voltage, ChB ( V )
0.035	0.018
0.066	0.040
0.098	0.059
0.129	0.087
0.160	0.121
0.192	0.176
0.222	0.244
0.254	0.332
0.283	0.418
0.315	0.400
0.346	0.272
0.376	0.177
0.408	0.126
0.438	0.107
0.471	0.114
0.501	0.144
0.530	0.203
0.562	0.280
0.593	0.413
0.624	0.569
0.654	0.762
0.686	0.996
0.716	1.271
0.746	1.559
0.778	1.670
0.809	1.287
0.839	0.749
0.869	0.440
0.901	0.283
0.931	0.237
0.961	0.261
0.994	0.353
1.024	0.504
1.054	0.713
1.084	0.978
1.116	1.302
1.146	1.680
1.177	2.119
1.209	2.610
1.238	3.060
1.269	3.081
1.301	2.344
1.331	1.499
1.361	0.911
1.390	0.549
1.423	0.423
1.453	0.436
1.485	0.566
1.514	0.782
1.544	1.065
1.576	1.451
1.606	1.901
1.638	2.427
1.667	3.029
1.699	3.685
1.729	4.258
1.760	4.348
1.789	3.622
1.821	2.728
1.851	1.853
1.882	1.185
1.912	0.851
1.943	0.724
1.972	0.797
2.003	0.998
2.034	1.320
2.064	1.742
2.095	2.264
2.126	2.887
2.157	3.599
2.187	4.376
2.216	5.095
2.247	5.341
2.279	4.973
2.308	4.245
2.339	3.264
2.369	2.382
2.401	1.750
2.430	1.370
2.460	1.258
2.491	1.329
2.522	1.575
2.552	1.948
2.582	2.462
2.611	3.095
2.644	3.841
2.674	4.671
2.704	5.475
2.734	6.016
2.764	6.060
2.794	5.702
2.825	4.915
2.857	4.033
2.886	3.215
2.916	2.578
2.947	2.214
2.978	2.037
3.008	2.086
3.038	2.292
3.068	2.684
3.098	3.214
3.129	3.907
3.159	4.702
3.158	4.730
3.157	4.721
3.159	4.718
