Voltage, ChB vs Voltage, ChA, Run #2
Voltage, ChA ( V )	Voltage, ChB ( V )
0.043	0.038
0.074	0.060
0.106	0.090
0.137	0.130
0.168	0.190
0.200	0.268
0.231	0.368
0.262	0.426
0.293	0.569
0.324	0.483
0.354	0.323
0.385	0.222
0.415	0.165
0.447	0.143
0.478	0.155
0.508	0.200
0.538	0.276
0.569	0.391
0.600	0.543
0.632	0.733
0.664	0.964
0.693	1.238
0.725	1.555
0.756	1.852
0.786	1.837
0.816	1.262
0.847	0.708
0.878	0.392
0.908	0.285
0.941	0.263
0.970	0.312
1.002	0.429
1.033	0.607
1.064	0.842
1.094	1.135
1.124	1.486
1.156	1.896
1.186	2.363
1.216	2.877
1.248	3.280
1.278	3.094
1.309	2.195
1.340	1.377
1.370	0.822
1.400	0.519
1.431	0.433
1.461	0.481
1.492	0.640
1.523	0.884
1.553	1.212
1.585	1.617
1.614	2.097
1.646	2.650
1.676	3.283
1.706	3.953
1.737	4.459
1.768	4.317
1.800	3.478
1.828	2.575
1.859	1.699
1.889	1.111
1.921	0.817
1.951	0.752
1.981	0.862
2.012	1.102
2.042	1.458
2.074	1.892
2.103	2.471
2.133	3.124
2.164	3.866
2.196	4.657
2.225	5.295
2.256	5.393
2.287	4.901
2.318	4.100
2.348	3.071
2.379	2.252
2.408	1.658
2.440	1.353
2.470	1.284
2.500	1.408
2.530	1.686
2.560	2.104
2.591	2.652
2.621	3.322
2.651	4.104
2.682	4.946
2.712	5.713
2.743	6.128
2.773	6.084
2.802	5.609
2.835	4.750
2.865	3.881
2.895	3.073
2.924	2.508
2.955	2.175
2.985	2.065
3.016	2.149
3.046	2.399
3.076	2.834
3.107	3.408
3.137	4.130
3.159	4.778
