Voltage, ChB vs Voltage, ChA, Run #7
Voltage, ChA ( V )	Voltage, ChB ( V )
0.036	0.020
0.068	0.042
0.099	0.065
0.130	0.159
0.161	0.140
0.193	0.201
0.223	0.283
0.253	0.377
0.285	0.466
0.316	0.436
0.347	0.298
0.378	0.197
0.410	0.140
0.439	0.119
0.471	0.123
0.501	0.156
0.532	0.220
0.563	0.316
0.595	0.443
0.624	0.606
0.656	0.807
0.687	1.050
0.717	1.335
0.748	1.627
0.778	1.722
0.809	1.302
0.840	0.746
0.872	0.438
0.902	0.275
0.933	0.242
0.964	0.272
0.994	0.368
1.025	0.524
1.055	0.739
1.086	1.006
1.116	1.332
1.147	1.718
1.178	2.157
1.210	2.642
1.240	3.080
1.270	3.071
1.301	2.307
1.331	1.492
1.362	0.888
1.392	0.538
1.425	0.419
1.455	0.437
1.486	0.571
1.516	0.786
1.545	1.084
1.577	1.456
1.607	1.902
1.639	2.425
1.669	3.023
1.699	3.669
1.729	4.225
1.760	4.257
1.790	3.546
1.821	2.661
1.852	1.799
1.884	1.153
1.914	0.828
1.944	0.715
1.974	0.795
2.004	0.998
2.035	1.318
2.065	1.738
2.095	2.256
2.127	2.869
2.158	3.573
2.188	4.339
2.217	5.020
2.250	5.254
2.280	4.871
2.311	4.147
2.341	3.176
2.372	2.315
2.401	1.700
2.432	1.335
2.463	1.234
2.493	1.311
2.523	1.559
2.554	1.932
2.583	2.443
2.614	3.068
2.645	3.810
2.675	4.629
2.705	5.412
2.735	5.906
2.766	5.949
2.796	5.576
2.827	4.794
2.856	3.924
2.886	3.122
2.916	2.503
2.948	2.147
2.978	1.988
3.009	2.043
3.038	2.252
3.069	2.643
3.099	3.168
3.129	3.850
3.160	4.636
