Voltage, ChB vs Voltage, ChA, Run #6
Voltage, ChA ( V )	Voltage, ChB ( V )
0.043	0.020
0.073	0.040
0.106	0.059
0.137	0.182
0.168	0.131
0.198	0.189
0.230	0.262
0.261	0.356
0.292	0.426
0.323	0.367
0.352	0.239
0.385	0.157
0.416	0.115
0.447	0.104
0.478	0.116
0.508	0.154
0.538	0.221
0.570	0.320
0.600	0.450
0.632	0.621
0.663	0.822
0.693	1.067
0.723	1.353
0.754	1.628
0.786	1.625
0.817	1.132
0.847	0.635
0.878	0.384
0.908	0.261
0.940	0.236
0.970	0.280
1.000	0.389
1.032	0.557
1.063	0.816
1.094	1.065
1.125	1.404
1.155	1.802
1.185	2.263
1.215	2.762
1.248	3.151
1.278	2.960
1.308	2.096
1.338	1.320
1.370	0.786
1.400	0.497
1.431	0.414
1.461	0.462
1.493	0.616
1.523	0.857
1.553	1.178
1.584	1.575
1.615	2.039
1.644	2.598
1.675	3.224
1.706	3.886
1.737	4.375
1.768	4.213
1.798	3.388
1.829	2.495
1.860	1.638
1.891	1.078
1.920	0.793
1.953	0.734
1.981	0.844
2.012	1.083
2.043	1.478
2.073	1.887
2.104	2.445
2.134	3.096
2.165	3.839
2.197	4.622
2.226	5.246
2.256	5.294
2.286	4.812
2.318	4.011
2.348	2.999
2.379	2.200
2.409	1.616
2.439	1.329
2.470	1.266
2.501	1.392
2.530	1.674
2.561	2.081
2.591	2.642
2.622	3.306
2.651	4.089
2.684	4.935
2.714	5.692
2.743	6.084
2.774	6.025
2.803	5.537
2.835	4.675
2.865	3.817
2.896	3.018
2.926	2.467
2.955	2.139
2.986	2.043
3.017	2.134
3.048	2.397
3.076	2.829
3.108	3.414
3.139	4.145
3.160	4.791
